season,date,home_team,away_team,home_score,away_score,home_xg,away_xg,home_PPDA,home_season_xPTS,home_season_xG,home_season_xGA,away_PPDA,away_season_xPTS,away_season_xG,away_season_xGA
15/16,10/4/15,ARS,MUN,3.0,0.0,2.17,1.04,8.35,77.01,73.53,33.86,7.73,56.44,45.42,39.66
15/16,10/17/15,TOT,LIV,0.0,0.0,0.59,0.72,6.44,69.43,63.42,37.08,7.48,63.29,54.37,37.88
15/16,10/17/15,SOU,LEI,2.0,2.0,1.47,2.79,9.12,61.08,56.2,44.29,9.57,68.94,68.42,45.02
15/16,10/17/15,WBA,SUN,1.0,0.0,2.08,0.66,11.41,42.3,39.75,51.94,11.64,40.52,40.52,58.85
15/16,10/17/15,CHE,AVL,2.0,0.0,1.23,0.8,8.53,59.62,54.48,44.63,12.2,29.83,26.53,59.01
15/16,10/17/15,CRY,WHU,1.0,3.0,1.08,2.76,9.03,44.89,42.51,52.94,9.31,49.8,54.4,55.48
15/16,10/17/15,EVE,MUN,0.0,3.0,0.65,1.48,11.12,52.69,53.98,54.75,7.73,56.44,45.42,39.66
15/16,10/17/15,MCI,BOU,5.0,1.0,4.71,0.17,7.78,70.14,66.2,37.47,9.03,43.74,38.71,53.97
15/16,10/17/15,WAT,ARS,0.0,3.0,0.25,2.69,9.39,48.25,43.2,51.85,8.35,77.01,73.53,33.86
15/16,10/18/15,NEW,NOR,6.0,2.0,2.25,1.34,11.48,40.21,37.61,55.42,11.82,39.18,39.19,58.93
15/16,10/19/15,SWA,STK,0.0,1.0,0.49,1.65,9.46,42.4,39.96,53.63,9.94,48.3,42.63,54.35
15/16,10/24/15,AVL,SWA,1.0,2.0,1.1,1.74,12.2,29.83,26.53,59.01,9.46,42.4,39.96,53.63
15/16,10/24/15,LEI,CRY,1.0,0.0,1.34,0.24,9.57,68.94,68.42,45.02,9.03,44.89,42.51,52.94
15/16,10/24/15,WHU,CHE,2.0,1.0,0.77,1.14,9.31,49.8,54.4,55.48,8.53,59.62,54.48,44.63
15/16,10/24/15,NOR,WBA,0.0,1.0,1.03,1.45,11.82,39.18,39.19,58.93,11.41,42.3,39.75,51.94
15/16,10/24/15,STK,WAT,0.0,2.0,0.85,1.04,9.94,48.3,42.63,54.35,9.39,48.25,43.2,51.85
15/16,10/24/15,ARS,EVE,2.0,1.0,2.56,0.37,8.35,77.01,73.53,33.86,11.12,52.69,53.98,54.75
15/16,10/25/15,SUN,NEW,3.0,0.0,2.38,1.42,11.64,40.52,40.52,58.85,11.48,40.21,37.61,55.42
15/16,10/25/15,BOU,TOT,1.0,5.0,0.49,3.43,9.03,43.74,38.71,53.97,6.44,69.43,63.42,37.08
15/16,10/25/15,MUN,MCI,0.0,0.0,0.39,0.31,7.73,56.44,45.42,39.66,7.78,70.14,66.2,37.47
15/16,10/25/15,LIV,SOU,1.0,1.0,0.68,1.56,7.48,63.29,54.37,37.88,9.12,61.08,56.2,44.29
15/16,10/31/15,CHE,LIV,1.0,3.0,0.74,0.84,8.53,59.62,54.48,44.63,7.48,63.29,54.37,37.88
15/16,10/31/15,CRY,MUN,0.0,0.0,0.94,0.39,9.03,44.89,42.51,52.94,7.73,56.44,45.42,39.66
15/16,10/31/15,MCI,NOR,2.0,1.0,2.84,1.17,7.78,70.14,66.2,37.47,11.82,39.18,39.19,58.93
15/16,10/31/15,NEW,STK,0.0,0.0,1.26,1.38,11.48,40.21,37.61,55.42,9.94,48.3,42.63,54.35
15/16,10/31/15,SWA,ARS,0.0,3.0,0.26,2.18,9.46,42.4,39.96,53.63,8.35,77.01,73.53,33.86
15/16,10/31/15,WAT,WHU,2.0,0.0,1.62,0.61,9.39,48.25,43.2,51.85,9.31,49.8,54.4,55.48
15/16,10/31/15,WBA,LEI,2.0,3.0,1.5,2.23,11.41,42.3,39.75,51.94,9.57,68.94,68.42,45.02
15/16,11/1/15,EVE,SUN,6.0,2.0,2.35,1.22,11.12,52.69,53.98,54.75,11.64,40.52,40.52,58.85
15/16,11/1/15,SOU,BOU,2.0,0.0,1.16,0.71,9.12,61.08,56.2,44.29,9.03,43.74,38.71,53.97
15/16,11/2/15,TOT,AVL,3.0,1.0,1.14,0.33,6.44,69.43,63.42,37.08,12.2,29.83,26.53,59.01
15/16,11/7/15,BOU,NEW,0.0,1.0,1.0,0.5,9.03,43.74,38.71,53.97,11.48,40.21,37.61,55.42
15/16,11/7/15,LEI,WAT,2.0,1.0,1.56,1.01,9.57,68.94,68.42,45.02,9.39,48.25,43.2,51.85
15/16,11/7/15,MUN,WBA,2.0,0.0,1.28,0.59,7.73,56.44,45.42,39.66,11.41,42.3,39.75,51.94
15/16,11/7/15,NOR,SWA,1.0,0.0,1.2,0.4,11.82,39.18,39.19,58.93,9.46,42.4,39.96,53.63
15/16,11/7/15,WHU,EVE,1.0,1.0,0.59,1.09,9.31,49.8,54.4,55.48,11.12,52.69,53.98,54.75
15/16,11/7/15,SUN,SOU,0.0,1.0,0.3,1.8,11.64,40.52,40.52,58.85,9.12,61.08,56.2,44.29
15/16,11/7/15,STK,CHE,1.0,0.0,0.83,1.03,9.94,48.3,42.63,54.35,8.53,59.62,54.48,44.63
15/16,11/8/15,AVL,MCI,0.0,0.0,0.18,1.53,12.2,29.83,26.53,59.01,7.78,70.14,66.2,37.47
15/16,11/8/15,ARS,TOT,1.0,1.0,2.02,0.91,8.35,77.01,73.53,33.86,6.44,69.43,63.42,37.08
15/16,11/8/15,LIV,CRY,1.0,2.0,2.16,0.85,7.48,63.29,54.37,37.88,9.03,44.89,42.51,52.94
15/16,11/21/15,WAT,MUN,1.0,2.0,1.47,1.3,9.39,48.25,43.2,51.85,7.73,56.44,45.42,39.66
15/16,11/21/15,SWA,BOU,2.0,2.0,1.89,1.59,9.46,42.4,39.96,53.63,9.03,43.74,38.71,53.97
15/16,11/21/15,SOU,STK,0.0,1.0,0.71,1.19,9.12,61.08,56.2,44.29,9.94,48.3,42.63,54.35
15/16,11/21/15,WBA,ARS,2.0,1.0,0.33,2.09,11.41,42.3,39.75,51.94,8.35,77.01,73.53,33.86
15/16,11/21/15,NEW,LEI,0.0,3.0,0.37,3.27,11.48,40.21,37.61,55.42,9.57,68.94,68.42,45.02
15/16,11/21/15,EVE,AVL,4.0,0.0,2.83,0.32,11.12,52.69,53.98,54.75,12.2,29.83,26.53,59.01
15/16,11/21/15,CHE,NOR,1.0,0.0,2.16,0.2,8.53,59.62,54.48,44.63,11.82,39.18,39.19,58.93
15/16,11/21/15,MCI,LIV,1.0,4.0,1.09,2.62,7.78,70.14,66.2,37.47,7.48,63.29,54.37,37.88
15/16,11/22/15,TOT,WHU,4.0,1.0,3.22,0.82,6.44,69.43,63.42,37.08,9.31,49.8,54.4,55.48
15/16,11/23/15,CRY,SUN,0.0,1.0,0.7,1.31,9.03,44.89,42.51,52.94,11.64,40.52,40.52,58.85
15/16,11/28/15,SUN,STK,2.0,0.0,0.86,0.79,11.64,40.52,40.52,58.85,9.94,48.3,42.63,54.35
15/16,11/28/15,AVL,WAT,2.0,3.0,1.49,1.45,12.2,29.83,26.53,59.01,9.39,48.25,43.2,51.85
15/16,11/28/15,BOU,EVE,3.0,3.0,1.69,0.73,9.03,43.74,38.71,53.97,11.12,52.69,53.98,54.75
15/16,11/28/15,CRY,NEW,5.0,1.0,1.68,0.79,9.03,44.89,42.51,52.94,11.48,40.21,37.61,55.42
15/16,11/28/15,MCI,SOU,3.0,1.0,2.12,1.24,7.78,70.14,66.2,37.47,9.12,61.08,56.2,44.29
15/16,11/28/15,LEI,MUN,1.0,1.0,0.88,1.06,9.57,68.94,68.42,45.02,7.73,56.44,45.42,39.66
15/16,11/29/15,TOT,CHE,0.0,0.0,0.33,0.28,6.44,69.43,63.42,37.08,8.53,59.62,54.48,44.63
15/16,11/29/15,WHU,WBA,1.0,1.0,1.41,0.87,9.31,49.8,54.4,55.48,11.41,42.3,39.75,51.94
15/16,11/29/15,LIV,SWA,1.0,0.0,1.19,0.37,7.48,63.29,54.37,37.88,9.46,42.4,39.96,53.63
15/16,11/29/15,NOR,ARS,1.0,1.0,1.01,1.66,11.82,39.18,39.19,58.93,8.35,77.01,73.53,33.86
15/16,12/5/15,STK,MCI,2.0,0.0,2.01,0.48,9.94,48.3,42.63,54.35,7.78,70.14,66.2,37.47
15/16,12/5/15,SWA,LEI,0.0,3.0,0.78,2.21,9.46,42.4,39.96,53.63,9.57,68.94,68.42,45.02
15/16,12/5/15,WAT,NOR,2.0,0.0,2.07,0.31,9.39,48.25,43.2,51.85,11.82,39.18,39.19,58.93
15/16,12/5/15,WBA,TOT,1.0,1.0,1.49,1.13,11.41,42.3,39.75,51.94,6.44,69.43,63.42,37.08
15/16,12/5/15,ARS,SUN,3.0,1.0,2.3,1.52,8.35,77.01,73.53,33.86,11.64,40.52,40.52,58.85
